level, duration, hits, total_ducks, score, ratio
126, 60, 52.0, 56, 126, 0.9285714285714286
127, 60, 55.0, 57, 127, 0.9649122807017544
128, 60, 59.0, 59, 128, 1.0
129, 60, 37.0, 47, 129, 0.7872340425531915
130, 60, 58.0, 59, 130, 0.9830508474576272
131, 60, 55.0, 59, 131, 0.9322033898305084
132, 60, 58.0, 59, 132, 0.9830508474576272
133, 60, 25.0, 30, 133, 0.8333333333333334
134, 60, 58.0, 59, 134, 0.9830508474576272
135, 60, 56.0, 59, 135, 0.9491525423728814
136, 60, 56.0, 58, 136, 0.9655172413793104
137, 60, 26.0, 31, 137, 0.8387096774193549
138, 60, 58.0, 59, 138, 0.9830508474576272
139, 60, 58.0, 59, 139, 0.9830508474576272
140, 60, 58.0, 59, 140, 0.9830508474576272
141, 60, 57.0, 59, 141, 0.9661016949152542
142, 60, 54.0, 59, 142, 0.9152542372881356
143, 60, 56.0, 59, 143, 0.9491525423728814
144, 60, 15.0, 22, 144, 0.6818181818181818
145, 60, 54.0, 58, 145, 0.9310344827586207
146, 60, 55.0, 57, 146, 0.9649122807017544
147, 60, 54.0, 56, 147, 0.9642857142857143
148, 60, 55.0, 59, 148, 0.9322033898305084
149, 60, 41.0, 46, 149, 0.8913043478260869
150, 60, 58.0, 58, 150, 1.0
151, 60, 58.0, 58, 151, 1.0
152, 60, 57.0, 59, 152, 0.9661016949152542
153, 60, 57.0, 59, 153, 0.9661016949152542
154, 60, 57.0, 59, 154, 0.9661016949152542
155, 60, 46.0, 52, 155, 0.8846153846153846
156, 60, 58.0, 59, 156, 0.9830508474576272
157, 60, 59.0, 59, 157, 1.0
158, 60, 56.0, 58, 158, 0.9655172413793104
159, 60, 58.0, 58, 159, 1.0
160, 60, 54.0, 58, 160, 0.9310344827586207
161, 60, 55.0, 59, 161, 0.9322033898305084
162, 60, 58.0, 59, 162, 0.9830508474576272
163, 60, 57.0, 58, 163, 0.9827586206896551
164, 60, 58.0, 59, 164, 0.9830508474576272
165, 60, 55.0, 58, 165, 0.9482758620689655
166, 60, 47.0, 53, 166, 0.8867924528301887
167, 60, 35.0, 38, 167, 0.9210526315789473
168, 60, 56.0, 59, 168, 0.9491525423728814
169, 60, 58.0, 59, 169, 0.9830508474576272
170, 60, 46.0, 52, 170, 0.8846153846153846
171, 60, 58.0, 59, 171, 0.9830508474576272
172, 60, 52.0, 56, 172, 0.9285714285714286
173, 60, 57.0, 59, 173, 0.9661016949152542
174, 60, 56.0, 59, 174, 0.9491525423728814
175, 60, 55.0, 57, 175, 0.9649122807017544
176, 60, 49.0, 55, 176, 0.8909090909090909
177, 60, 49.0, 54, 177, 0.9074074074074074
178, 60, 39.0, 44, 178, 0.8863636363636364
179, 60, 15.0, 22, 179, 0.6818181818181818
180, 60, 34.0, 40, 180, 0.85
181, 60, 57.0, 58, 181, 0.9827586206896551
182, 60, 57.0, 59, 182, 0.9661016949152542
183, 60, 59.0, 59, 183, 1.0
184, 60, 59.0, 59, 184, 1.0
185, 60, 57.0, 59, 185, 0.9661016949152542
186, 60, 57.0, 58, 186, 0.9827586206896551
